Project ID,Client,Business Unit,Activity,Entity,Geography,Commercial Lead,Stage,Start Date,End Date,Month,Year,Revenue,Currency,New/Existing,Weighted %,Weighted Pipeline
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,1,2025,38170.3,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,2,2025,34218.11,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,3,2025,37366.17,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,4,2025,38769.11,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,5,2025,38769.11,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,6,2025,35929.01,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,7,2025,36202.76,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,8,2025,30539.66,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,9,2025,38392.71,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,10,2025,40924.85,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,11,2025,34902.47,GBP,New Business,,
B00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,12,2025,35415.74,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,1,2025,29938.85,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,2,2025,26838.95,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,3,2025,29308.13,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,4,2025,30408.53,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,5,2025,30408.53,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,6,2025,28180.9,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,7,2025,28395.61,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,8,2025,23953.76,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,9,2025,30113.3,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,10,2025,32099.39,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,11,2025,27375.73,GBP,New Business,,
B00004_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,12,2025,27778.31,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,1,2025,76852.89,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,2,2025,68895.46,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,3,2025,75233.84,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,4,2025,78058.56,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,5,2025,78058.56,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,6,2025,72340.24,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,7,2025,72891.4,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,8,2025,61489.2,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,9,2025,77300.71,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,10,2025,82398.97,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,11,2025,70273.37,GBP,New Business,,
B00007_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,12,2025,71306.8,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,1,2025,27637.86,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,2,2025,24776.21,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,3,2025,27055.62,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,4,2025,28071.45,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,5,2025,28071.45,GBP,New Business,,
B00010_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/12/2025,6,2025,26015.02,GBP,New Business,,
