Project ID,Client,Business Unit,Activity,Entity,Geography,Commercial Lead,Stage,Start Date,End Date,Month,Year,Revenue,Currency,New/Existing,Weighted %,Weighted Pipeline
P00001_1,Brennan & Associates,Recruitment,HR,Nexum UK,UK,Oliver Hayes,Won,01/01/2025,31/01/2025,1,2025,37326.79,GBP,New Business,,
P00017_1,Juniper Capital,Training & Development,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/01/2025,1,2025,32740.14,GBP,New Business,,
P00033_1,Quorum Staffing,HR Transformation,HR,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/01/2025,1,2025,69497.75,GBP,New Business,,
P00052_1,Redbridge Media,Payroll Advisory,HR,Nexum UK,UK,Oliver Hayes,Won,01/01/2025,31/01/2025,1,2025,29352.01,GBP,New Business,,
P00068_1,Westmore Finance,HR Compliance,HR,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,32227.85,GBP,New Business,,
P00084_1,Hartwell Group,CFO Advisory,Finance,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,74862.39,GBP,New Business,,
P00103_1,Sterling Dynamics,Financial Planning,Finance,Nexum UK,UK,Oliver Hayes,Won,01/01/2025,31/01/2025,1,2025,54220.56,GBP,New Business,,
P00120_1,Pennington & Co,Tax Optimization,Finance,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,47037.66,GBP,New Business,,
P00137_1,Blackthorn Capital,M&A Support,Finance,Nexum UK,UK,Emma Clarke,Won,01/01/2025,31/01/2025,1,2025,102567.95,GBP,New Business,,
P00156_1,Oakfield Partners,Accounting Transformation,Finance,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,84125.59,GBP,New Business,,
P00175_1,Cromwell Partners,Brand Strategy,Marketing,Nexum UK,UK,Oliver Hayes,Won,01/01/2025,31/01/2025,1,2025,37372.25,GBP,New Business,,
P00191_1,Ashford Industries,Digital Marketing,Marketing,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,46749.14,GBP,New Business,,
P00208_1,Devlin & Sons,Market Research,Marketing,Nexum UK,UK,Oliver Hayes,Won,01/01/2025,31/01/2025,1,2025,29239.44,GBP,New Business,,
P00224_1,Kingsford Capital,Sales Enablement,Marketing,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,41119.74,GBP,New Business,,
P00241_1,Whitmore Consulting,Customer Experience,Marketing,Nexum UK,UK,James Thornton,Won,01/01/2025,31/01/2025,1,2025,59404.63,GBP,New Business,,
P00547_1,Dalton Manufacturing,Recruitment,HR,Nexum EMEA,Germany,Stefan Krause,Won,01/01/2025,31/01/2025,1,2025,24147.9,EUR,New Business,,
P00563_1,Ironside Tech,Training & Development,HR,Nexum EMEA,Germany,Luisa Meier,Won,01/01/2025,31/01/2025,1,2025,32900.78,EUR,New Business,,
P00579_1,Northfield Construction,HR Transformation,HR,Nexum EMEA,Germany,Stefan Krause,Won,01/01/2025,31/01/2025,1,2025,24103.37,EUR,New Business,,
